% Model,HUR_model_weather_Helsinki_.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:27"
% Table,Table 8 - Point Evaluation 3 (T)
% Time (h),"Temperature (degC), Point: 3","Temperature (degC), Point: 9","Temperature (degC), Point: 13","Temperature (degC), Point: 17","Temperature (degC), Point: 23","Temperature (degC), Point: 25","Temperature (degC), Point: 27","Temperature (degC), Point: 39","Temperature (degC), Point: 41","Temperature (degC), Point: 47","Temperature (degC), Point: 51","Temperature (degC), Point: 53","Temperature (degC), Point: 57"
8567,34.54010642038264,33.775837556464694,34.881526278317494,35.036802689490685,34.48625859654294,29.761589129578738,34.136212786628334,35.499720127582805,35.42688972162671,35.860676293797724,34.67000661755736,34.60082470257146,34.88741252276645
8568,34.540440485786576,33.77610393775632,34.88184432265052,35.03725367349983,34.486581517315244,29.76224213204648,34.13664490585978,35.500111524823865,35.42729556857233,35.86107276624574,34.67049983158762,34.60128299175659,34.88782958974184
8569,34.54077455119051,33.776370319048,34.88216236698355,35.03770465750898,34.486904438087606,29.762895134514167,34.13707702509123,35.500502922064925,35.42770141551796,35.8614692386937,34.67099304561788,34.60174128094178,34.88824665671723
8570,34.54110861659444,33.77663670033962,34.88248041131658,35.03815564151813,34.48722735885997,29.763548136981854,34.13750914432262,35.500894319305985,35.42810726246353,35.861865711141775,34.671486259648134,34.60219957012691,34.888663723692616
8571,34.541442681998376,33.7769030816313,34.88279845564955,35.03860662552728,34.48755027963233,29.764201139449597,34.13794126355407,35.501285716547045,35.42851310940915,35.862262183589735,34.67197947367845,34.602657859312046,34.88908079066795
8572,34.54177674740225,33.77716946292293,34.88311649998258,35.03905760953643,34.48787320040469,29.764854141917226,34.13837338278546,35.501677113788105,35.42891895635478,35.86265865603781,34.67247268770865,34.603116148497236,34.889497857643335
8573,34.542110812806186,33.77743584421461,34.883434544315605,35.03950859354558,34.488196121177054,29.765507144384912,34.13880550201691,35.502068511029165,35.4293248033004,35.86305512848577,34.672965901738905,34.60357443768237,34.88991492461872
8574,34.54244487821006,33.77770222550623,34.88375258864863,35.039959577554725,34.48851904194936,29.766160146852656,34.139237621248355,35.50245990827017,35.42973065024603,35.863451600933786,34.67345911576916,34.60403272686756,34.89033199159411
8575,34.542778943613996,33.777968606797856,34.884070632981604,35.040410561563874,34.48884196272178,29.766813149320342,34.13966974047975,35.50285130551123,35.430136497191654,35.86384807338186,34.67395232979942,34.60449101605269,34.89074905856944
8576,34.54311300901793,33.77823498808954,34.88438867731463,35.04086154557308,34.489164883494084,29.767466151788085,34.140101859711194,35.50324270275229,35.43054234413728,35.86424454582982,34.67444554382968,34.604949305237824,34.89116612554483
8577,34.543447074421806,33.77850136938122,34.88470672164766,35.04131252958223,34.4894878042665,29.76811915425577,34.14053397894264,35.50363409999335,35.430948191082905,35.86464101827784,34.674938757859934,34.60540759442296,34.891583192520216
8578,34.543781139825796,33.77876775067284,34.88502476598069,35.04176351359138,34.48981072503881,29.768772156723458,34.14096609817409,35.50402549723441,35.43135403802853,35.865037490725854,34.67543197189019,34.605865883608146,34.8920002594956
8579,34.54411520522967,33.77903413196452,34.885342810313716,35.042214497600526,34.49013364581117,29.769425159191144,34.14139821740554,35.50441689447547,35.4317598849741,35.86543396317387,34.67592518592045,34.60632417279328,34.892417326470934
8580,34.544449270633606,33.779300513256146,34.88566085464669,35.042665481609674,34.49045656658353,29.77007816165883,34.14183033663693,35.50480829171653,35.43216573191978,35.86583043562189,34.676418399950705,34.60678246197847,34.89283439344632
8581,34.54478333603748,33.77956689454783,34.885978898979715,35.04311646561882,34.490779487355894,29.770731164126516,34.14226245586838,35.50519968895759,35.43257157886535,35.866226908069905,34.67691161398096,34.6072407511636,34.89325146042171
8582,34.545117401441416,33.77983327583951,34.88629694331274,35.04356744962797,34.491102408128256,29.77138416659426,34.14269457509977,35.50559108619859,35.432977425810975,35.86662338051792,34.67740482801122,34.607699040348734,34.8936685273971
8583,34.54545146684535,33.78009965713113,34.88661498764577,35.04401843363712,34.49142532890056,29.772037169061946,34.143126694331215,35.50598248343965,35.4333832727566,35.86701985296594,34.67789804204148,34.608157329533924,34.89408559437243
8584,34.545785532249226,33.78036603842281,34.8869330319788,35.04446941764627,34.49174824967292,29.77269017152969,34.14355881356266,35.50637388068077,35.433789119702226,35.867416325413956,34.678391256071734,34.60861561871906,34.894502661347815
8585,34.54611959765316,33.780632419714436,34.88725107631183,35.04492040165542,34.492071170445286,29.773343173997375,34.14399093279411,35.50676527792183,35.43419496664785,35.867812797861916,34.67888447010199,34.609073907904246,34.89491972832326
8586,34.54645366305709,33.78089880100612,34.887569120644855,35.04537138566462,34.49239409121765,29.773996176465005,34.14442305202556,35.50715667516289,35.43460081359348,35.86820927030999,34.67937768413225,34.60953219708938,34.89533679529859
8587,34.54678772846103,33.78116518229774,34.88788716497788,35.04582236967377,34.49271701199001,29.774649178932748,34.14485517125695,35.50754807240389,35.435006660539045,35.86860574275795,34.679870898162505,34.60999048627451,34.89575386227398
8588,34.5471217938649,33.78143156358942,34.88820520931091,35.04627335368292,34.49303993276237,29.775302181400434,34.1452872904884,35.50793946964495,35.43541250748473,35.869002215206024,34.68036411219276,34.610448775459645,34.896170929249365
8589,34.54745585926884,33.7816979448811,34.88852325364388,35.04672433769207,34.493362853534734,29.77595518386812,34.145719409719845,35.50833086688601,35.435818354430296,35.869398687653984,34.68085732622302,34.610907064644834,34.89658799622475
8590,34.54778992467271,33.78196432617273,34.88884129797691,35.04717532170122,34.493685774307096,29.776608186335864,34.146151528951236,35.50872226412707,35.43622420137592,35.869795160102,34.68135054025328,34.61136535382997,34.89700506320008
8591,34.54812399007665,33.78223070746441,34.88915934230994,35.04762630571037,34.4940086950794,29.77726118880355,34.146583648182684,35.50911366136813,35.43663004832155,35.87019163255002,34.681843754283534,34.61182364301516,34.89742213017547
8592,34.54845805548058,33.78249708875603,34.889477386642966,35.048077289719515,34.49433161585182,29.777914191271236,34.147015767414075,35.50950505860919,35.43703589526717,35.870588104998035,34.68233696831379,34.61228193220029,34.89783919715086
8593,34.54879212088446,33.78276347004771,34.889795430975994,35.048528273728664,34.494654536624125,29.778567193738922,34.14744788664552,35.50989645585025,35.4374417422128,35.87098457744605,34.68283018234405,34.61274022138542,34.898256264126246
8594,34.54912618628839,33.783029851339336,34.890113475308965,35.04897925773781,34.49497745739649,29.77922019620661,34.14788000587697,35.510287853091256,35.43784758915842,35.87138104989407,34.683323396374306,34.61319851057061,34.89867333110158
8595,34.549460251692324,33.78329623263102,34.89043151964199,35.04943024174696,34.49530037816885,29.779873198674352,34.14831212510842,35.510679250332316,35.43825343610405,35.871777522342086,34.68381661040456,34.613656799755745,34.899090398076964
8596,34.54979431709626,33.78356261392264,34.89074956397502,35.04988122575611,34.49562329894121,29.780526201142038,34.148744244339866,35.511070647573376,35.438659283049674,35.8721739947901,34.68430982443482,34.614115088940935,34.89950746505235
8597,34.550128382500134,33.783828995214265,34.89106760830805,35.050332209765315,34.495946219713574,29.781179203609724,34.14917636357126,35.51146204481444,35.4390651299953,35.87257046723812,34.68480303846508,34.61457337812601,34.89992453202774
8598,34.55046244790407,33.784095376505945,34.89138565264102,35.050783193774464,34.49626914048588,29.781832206077468,34.149608482802705,35.5118534420555,35.43947097694087,35.87296693968614,34.685296252495334,34.6150316673112,34.90034159900307
8599,34.550796513308,33.78436175779757,34.89170369697405,35.05123417778361,34.4965920612583,29.782485208545154,34.15004060203415,35.51224483929656,35.43987682388655,35.873363412134154,34.68578946652559,34.61548995649633,34.90075866597846
8600,34.55113057871188,33.78462813908925,34.892021741307076,35.05168516179276,34.4969149820306,29.783138211012783,34.150472721265544,35.51263623653762,35.44028267083212,35.87375988458217,34.68628268055585,34.61594824568152,34.901175732953845
8601,34.55146464411581,33.78489452038093,34.892339785640104,35.05213614580191,34.497237902802965,29.783791213480526,34.15090484049699,35.51302763377868,35.440688517777744,35.87415635703013,34.686775894586106,34.616406534866655,34.90159279992923
8602,34.55179870951969,33.785160901672555,34.89265782997313,35.05258712981106,34.49756082357533,29.784444215948213,34.15133695972838,35.51341903101968,35.44109436472337,35.874552829478205,34.68726910861636,34.616864824051845,34.902009866904564
8603,34.55213277492362,33.785427282964235,34.8929758743061,35.05303811382021,34.49788374434769,29.785097218415956,34.15176907895983,35.51381042826074,35.441500211668995,35.874949301926165,34.68776232264662,34.61732311323698,34.90242693387995
8604,34.552466840327554,33.78569366425586,34.89329391863913,35.053489097829356,34.49820666512005,29.785750220883642,34.15220119819128,35.5142018255018,35.44190605861462,35.87534577437418,34.68825553667688,34.61778140242211,34.902844000855396
